CH1,CH2,CH3,CH4
4.90E-03,2.17E-03,-1.09E-01,-2.23E-03
5.79E-03,1.80E-03,-1.11E-01,-3.43E-03
7.48E-03,3.39E-03,-1.13E-01,-3.83E-03
7.56E-03,4.67E-03,-1.12E-01,-2.81E-03
5.91E-03,3.92E-03,-1.09E-01,-1.76E-03
4.88E-03,2.16E-03,-1.09E-01,-2.22E-03
5.78E-03,1.79E-03,-1.11E-01,-3.42E-03
7.48E-03,3.37E-03,-1.13E-01,-3.84E-03
7.56E-03,4.67E-03,-1.12E-01,-2.82E-03
5.93E-03,3.92E-03,-1.10E-01,-1.76E-03
4.89E-03,2.16E-03,-1.09E-01,-2.22E-03
5.77E-03,1.78E-03,-1.11E-01,-3.42E-03
7.47E-03,3.36E-03,-1.13E-01,-3.84E-03
7.57E-03,4.66E-03,-1.12E-01,-2.82E-03
5.94E-03,3.93E-03,-1.10E-01,-1.76E-03
4.89E-03,2.17E-03,-1.09E-01,-2.22E-03
5.78E-03,1.78E-03,-1.11E-01,-3.41E-03
7.47E-03,3.36E-03,-1.13E-01,-3.84E-03
7.58E-03,4.67E-03,-1.12E-01,-2.82E-03
5.95E-03,3.93E-03,-1.10E-01,-1.76E-03
4.89E-03,2.17E-03,-1.09E-01,-2.21E-03
5.76E-03,1.77E-03,-1.11E-01,-3.40E-03
7.46E-03,3.34E-03,-1.13E-01,-3.84E-03
7.57E-03,4.66E-03,-1.12E-01,-2.83E-03
5.95E-03,3.95E-03,-1.10E-01,-1.76E-03
4.89E-03,2.19E-03,-1.09E-01,-2.20E-03
5.76E-03,1.78E-03,-1.11E-01,-3.40E-03
7.46E-03,3.34E-03,-1.13E-01,-3.84E-03
7.58E-03,4.66E-03,-1.12E-01,-2.83E-03
5.95E-03,3.96E-03,-1.10E-01,-1.76E-03
4.89E-03,2.19E-03,-1.09E-01,-2.20E-03
5.75E-03,1.78E-03,-1.11E-01,-3.39E-03
7.46E-03,3.33E-03,-1.13E-01,-3.84E-03
7.60E-03,4.66E-03,-1.12E-01,-2.84E-03
5.98E-03,3.97E-03,-1.10E-01,-1.76E-03
4.91E-03,2.21E-03,-1.09E-01,-2.19E-03
5.75E-03,1.78E-03,-1.11E-01,-3.39E-03
7.46E-03,3.33E-03,-1.13E-01,-3.85E-03
7.60E-03,4.67E-03,-1.12E-01,-2.85E-03
5.98E-03,3.98E-03,-1.10E-01,-1.77E-03
4.90E-03,2.20E-03,-1.09E-01,-2.19E-03
5.74E-03,1.77E-03,-1.11E-01,-3.38E-03
7.45E-03,3.31E-03,-1.13E-01,-3.85E-03
7.61E-03,4.66E-03,-1.12E-01,-2.86E-03
6.00E-03,3.99E-03,-1.10E-01,-1.77E-03
4.91E-03,2.21E-03,-1.09E-01,-2.18E-03
5.74E-03,1.76E-03,-1.11E-01,-3.38E-03
7.45E-03,3.30E-03,-1.13E-01,-3.85E-03
7.61E-03,4.65E-03,-1.12E-01,-2.86E-03
6.00E-03,3.98E-03,-1.10E-01,-1.77E-03
4.91E-03,2.21E-03,-1.09E-01,-2.19E-03
5.73E-03,1.75E-03,-1.11E-01,-3.38E-03
7.43E-03,3.28E-03,-1.13E-01,-3.86E-03
7.60E-03,4.63E-03,-1.12E-01,-2.87E-03
6.00E-03,3.98E-03,-1.10E-01,-1.77E-03
4.90E-03,2.21E-03,-1.09E-01,-2.18E-03
5.72E-03,1.75E-03,-1.11E-01,-3.37E-03
7.44E-03,3.27E-03,-1.13E-01,-3.86E-03
7.62E-03,4.63E-03,-1.12E-01,-2.88E-03
6.01E-03,3.99E-03,-1.10E-01,-1.78E-03
4.90E-03,2.20E-03,-1.09E-01,-2.18E-03
5.71E-03,1.73E-03,-1.11E-01,-3.37E-03
7.42E-03,3.25E-03,-1.13E-01,-3.86E-03
7.62E-03,4.62E-03,-1.12E-01,-2.88E-03
6.02E-03,3.99E-03,-1.10E-01,-1.78E-03
4.90E-03,2.20E-03,-1.09E-01,-2.17E-03
5.69E-03,1.73E-03,-1.11E-01,-3.36E-03
7.42E-03,3.24E-03,-1.13E-01,-3.86E-03
7.63E-03,4.62E-03,-1.12E-01,-2.88E-03
6.04E-03,4.00E-03,-1.10E-01,-1.78E-03
4.91E-03,2.22E-03,-1.09E-01,-2.17E-03
5.70E-03,1.73E-03,-1.11E-01,-3.35E-03
7.43E-03,3.24E-03,-1.13E-01,-3.86E-03
7.63E-03,4.62E-03,-1.12E-01,-2.89E-03
6.04E-03,4.00E-03,-1.10E-01,-1.78E-03
4.90E-03,2.21E-03,-1.09E-01,-2.16E-03
5.69E-03,1.72E-03,-1.11E-01,-3.35E-03
7.41E-03,3.23E-03,-1.13E-01,-3.86E-03
7.62E-03,4.61E-03,-1.12E-01,-2.90E-03
6.03E-03,4.00E-03,-1.10E-01,-1.78E-03
4.89E-03,2.21E-03,-1.09E-01,-2.15E-03
5.68E-03,1.71E-03,-1.11E-01,-3.34E-03
7.41E-03,3.20E-03,-1.13E-01,-3.86E-03
7.63E-03,4.60E-03,-1.12E-01,-2.90E-03
6.05E-03,4.01E-03,-1.10E-01,-1.78E-03
4.90E-03,2.21E-03,-1.09E-01,-2.14E-03
5.66E-03,1.70E-03,-1.11E-01,-3.33E-03
7.39E-03,3.18E-03,-1.13E-01,-3.86E-03
7.63E-03,4.58E-03,-1.12E-01,-2.90E-03
6.05E-03,4.01E-03,-1.10E-01,-1.78E-03
4.90E-03,2.22E-03,-1.09E-01,-2.14E-03
5.65E-03,1.68E-03,-1.11E-01,-3.32E-03
7.38E-03,3.15E-03,-1.13E-01,-3.86E-03
7.62E-03,4.55E-03,-1.12E-01,-2.91E-03
6.05E-03,3.99E-03,-1.10E-01,-1.79E-03
4.89E-03,2.21E-03,-1.09E-01,-2.14E-03
5.64E-03,1.68E-03,-1.11E-01,-3.32E-03
7.37E-03,3.14E-03,-1.13E-01,-3.86E-03
7.62E-03,4.54E-03,-1.12E-01,-2.92E-03
6.07E-03,4.00E-03,-1.10E-01,-1.80E-03
4.91E-03,2.23E-03,-1.09E-01,-2.15E-03
5.64E-03,1.72E-03,-1.11E-01,-3.30E-03
7.28E-03,3.16E-03,-1.13E-01,-3.78E-03
7.47E-03,4.47E-03,-1.12E-01,-2.85E-03
5.98E-03,3.87E-03,-1.10E-01,-1.83E-03
4.94E-03,2.17E-03,-1.09E-01,-2.22E-03
5.71E-03,1.74E-03,-1.11E-01,-3.32E-03
7.33E-03,3.18E-03,-1.13E-01,-3.78E-03
7.52E-03,4.48E-03,-1.12E-01,-2.87E-03
6.05E-03,3.90E-03,-1.10E-01,-1.85E-03
5.00E-03,2.21E-03,-1.09E-01,-2.22E-03
5.74E-03,1.78E-03,-1.11E-01,-3.32E-03
7.36E-03,3.21E-03,-1.13E-01,-3.78E-03
7.55E-03,4.50E-03,-1.12E-01,-2.87E-03
6.06E-03,3.91E-03,-1.10E-01,-1.85E-03
5.00E-03,2.22E-03,-1.09E-01,-2.21E-03
5.74E-03,1.77E-03,-1.11E-01,-3.31E-03
7.36E-03,3.20E-03,-1.13E-01,-3.78E-03
7.54E-03,4.51E-03,-1.12E-01,-2.86E-03
6.04E-03,3.92E-03,-1.10E-01,-1.83E-03
4.97E-03,2.21E-03,-1.09E-01,-2.20E-03
5.70E-03,1.75E-03,-1.11E-01,-3.30E-03
7.33E-03,3.18E-03,-1.13E-01,-3.78E-03
7.54E-03,4.50E-03,-1.12E-01,-2.87E-03
6.06E-03,3.92E-03,-1.10E-01,-1.84E-03
