CH1,CH2,CH3,CH4
-1.34E-03,-7.56E-03,3.19E-03,4.54E-03
-1.62E-03,-7.55E-03,3.17E-03,4.53E-03
-1.87E-03,-7.55E-03,3.16E-03,4.53E-03
-2.09E-03,-7.54E-03,3.14E-03,4.53E-03
-2.30E-03,-7.53E-03,3.12E-03,4.52E-03
-2.49E-03,-7.52E-03,3.11E-03,4.52E-03
-2.67E-03,-7.51E-03,3.10E-03,4.51E-03
-2.81E-03,-7.51E-03,3.09E-03,4.51E-03
-2.93E-03,-7.50E-03,3.08E-03,4.50E-03
-3.04E-03,-7.49E-03,3.07E-03,4.50E-03
-3.14E-03,-7.48E-03,3.06E-03,4.49E-03
-3.22E-03,-7.48E-03,3.06E-03,4.48E-03
-3.29E-03,-7.47E-03,3.05E-03,4.47E-03
-3.33E-03,-7.46E-03,3.05E-03,4.46E-03
-3.36E-03,-7.44E-03,3.04E-03,4.46E-03
-3.39E-03,-7.43E-03,3.03E-03,4.44E-03
-3.41E-03,-7.43E-03,3.03E-03,4.43E-03
-3.42E-03,-7.42E-03,3.03E-03,4.42E-03
-3.41E-03,-7.40E-03,3.03E-03,4.41E-03
-3.40E-03,-7.39E-03,3.02E-03,4.40E-03
-3.39E-03,-7.38E-03,3.02E-03,4.39E-03
-3.39E-03,-7.37E-03,3.02E-03,4.37E-03
-3.37E-03,-7.36E-03,3.02E-03,4.36E-03
-3.33E-03,-7.35E-03,3.02E-03,4.35E-03
-3.30E-03,-7.33E-03,3.02E-03,4.34E-03
-3.28E-03,-7.32E-03,3.02E-03,4.32E-03
-3.27E-03,-7.32E-03,3.02E-03,4.31E-03
-3.24E-03,-7.31E-03,3.03E-03,4.30E-03
-3.21E-03,-7.30E-03,3.03E-03,4.29E-03
-3.18E-03,-7.29E-03,3.03E-03,4.28E-03
-3.16E-03,-7.29E-03,3.03E-03,4.28E-03
-3.15E-03,-7.28E-03,3.03E-03,4.27E-03
-3.13E-03,-7.28E-03,3.04E-03,4.26E-03
-3.10E-03,-7.28E-03,3.04E-03,4.26E-03
-3.07E-03,-7.27E-03,3.04E-03,4.25E-03
-3.07E-03,-7.27E-03,3.04E-03,4.25E-03
-3.06E-03,-7.27E-03,3.05E-03,4.24E-03
-3.05E-03,-7.27E-03,3.06E-03,4.24E-03
-3.03E-03,-7.27E-03,3.06E-03,4.24E-03
-3.01E-03,-7.27E-03,3.06E-03,4.24E-03
-3.01E-03,-7.27E-03,3.06E-03,4.24E-03
-3.02E-03,-7.27E-03,3.07E-03,4.24E-03
-3.01E-03,-7.28E-03,3.07E-03,4.24E-03
-3.00E-03,-7.28E-03,3.07E-03,4.24E-03
-2.99E-03,-7.27E-03,3.07E-03,4.24E-03
-2.99E-03,-7.28E-03,3.08E-03,4.24E-03
-3.00E-03,-7.28E-03,3.08E-03,4.24E-03
-3.01E-03,-7.29E-03,3.09E-03,4.24E-03
-3.00E-03,-7.29E-03,3.09E-03,4.25E-03
-2.99E-03,-7.29E-03,3.09E-03,4.25E-03
-3.00E-03,-7.29E-03,3.09E-03,4.25E-03
-3.01E-03,-7.30E-03,3.09E-03,4.25E-03
