CH1,CH2,CH3,CH4,,,,,,,,,,,,,
-9.14E-03,-6.31E-03,3.53E-03,-1.08E-02,,,,,,,,,,,,,
-8.77E-03,-6.10E-03,4.25E-03,-8.98E-03,,,,,,,,,,,,,
-8.84E-03,-6.04E-03,5.14E-03,-8.90E-03,,,,,,,,,,,,,
-9.30E-03,-6.25E-03,4.83E-03,-1.09E-02,,,,,,,,,,,,,
-9.44E-03,-6.39E-03,3.83E-03,-1.18E-02,,,,,,,,,,,,,
-9.14E-03,-6.30E-03,3.52E-03,-1.08E-02,,,,,,,,,,,,,
-8.76E-03,-6.10E-03,4.24E-03,-8.97E-03,,,,,,,,,,,,,
-8.84E-03,-6.04E-03,5.14E-03,-8.90E-03,,,,,,,,,,,,,
-9.30E-03,-6.25E-03,4.83E-03,-1.09E-02,,,,,,,,,,,,,
-9.44E-03,-6.39E-03,3.84E-03,-1.18E-02,,,,,,,,,,,,,
-9.14E-03,-6.30E-03,3.52E-03,-1.08E-02,,,,,,,,,,,,,
-8.77E-03,-6.10E-03,4.24E-03,-8.97E-03,,,,,,,,,,,,,
-8.84E-03,-6.05E-03,5.14E-03,-8.89E-03,,,,,,,,,,,,,
-9.30E-03,-6.24E-03,4.83E-03,-1.08E-02,,,,,,,,,,,,,
-9.44E-03,-6.39E-03,3.83E-03,-1.18E-02,,,,,,,,,,,,,
-9.14E-03,-6.30E-03,3.52E-03,-1.08E-02,,,,,,,,,,,,,
-8.76E-03,-6.09E-03,4.24E-03,-8.97E-03,,,,,,,,,,,,,
-8.84E-03,-6.04E-03,5.14E-03,-8.89E-03,,,,,,,,,,,,,
-9.30E-03,-6.25E-03,4.83E-03,-1.08E-02,,,,,,,,,,,,,
-9.44E-03,-6.39E-03,3.83E-03,-1.18E-02,,,,,,,,,,,,,
-9.14E-03,-6.30E-03,3.52E-03,-1.08E-02,,,,,,,,,,,,,d
-8.76E-03,-6.09E-03,4.24E-03,-8.96E-03,,,,,,,,,,,,,
-8.84E-03,-6.04E-03,5.14E-03,-8.88E-03,,,,,,,,,,,,,
-9.29E-03,-6.24E-03,4.83E-03,-1.08E-02,,,,,,,,,,,,,
-9.43E-03,-6.38E-03,3.83E-03,-1.18E-02,,,,,,,,,,,,,
-9.14E-03,-6.29E-03,3.52E-03,-1.08E-02,,,,,,,,,,,,,
-8.76E-03,-6.09E-03,4.24E-03,-8.97E-03,,,,,,,,,,,,,
-8.83E-03,-6.04E-03,5.14E-03,-8.88E-03,,,,,,,,,,,,,
